É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/08/01 18:39:09

,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹
îNåéì˙,ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm)
,,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1987/1/1,20,8,1,2,8,1,-3.3,8,1,0.7,8,1,-5.5,8,1,,0,,0,1,êºìÏêº,8,1,0.0,8,1,50,8,1,23,8,1
1987/1/2,3,8,1,1,8,1,-3.7,8,1,-2.0,8,1,-5.0,8,1,,0,,0,1,ñkìå,8,1,1.1,8,1,50,8,1,11,8,1
1987/1/3,19,8,1,3,8,1,-0.1,8,1,6.2,8,1,-3.2,8,1,,0,,0,1,ñkìå,8,1,1.1,8,1,55,8,1,8,8,1
1987/1/4,17,8,1,2,8,1,-4.2,8,1,-1.3,8,1,-5.4,8,1,,0,,0,1,êºñkêº,8,1,0.0,8,1,62,8,1,23,8,1
1987/1/5,0,8,1,0,8,1,-5.5,8,1,-3.3,8,1,-8.6,8,1,,0,,0,1,ñkìå,8,1,0.1,8,1,57,8,1,3,8,1
1987/1/6,12,8,1,5,8,1,-3.8,8,1,0.7,8,1,-8.7,8,1,,0,,0,1,êºñkêº,8,1,1.2,8,1,69,8,1,24,8,1
1987/1/7,3,8,1,1,8,1,-1.7,8,1,1.9,8,1,-3.9,8,1,,0,,0,1,ñkêº,8,1,0.0,8,1,73,8,1,20,8,1
