É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/08/01 18:39:32

,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹
îNåéì˙,ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm)
,,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1993/1/1,7,8,1,1,8,1,-1.1,8,1,0.6,8,1,-7.3,8,1,,0,,0,1,ìÏìå,8,1,0.0,8,1,110,8,1,7,8,1
1993/1/2,3,8,1,2,8,1,-2.3,8,1,1.9,8,1,-8.7,8,1,,0,,0,1,ñkêº,8,1,2.8,8,1,105,8,1,6,8,1
1993/1/3,26,8,1,4,8,1,2.9,8,1,8.8,8,1,0.2,8,1,,0,,0,1,êºñkêº,8,1,0.5,8,1,100,8,1,6,8,1
1993/1/4,15,8,1,3,8,1,-2.1,8,1,1.0,8,1,-3.9,8,1,,0,,0,1,êºñkêº,8,1,0.0,8,1,116,8,1,33,8,1
1993/1/5,12,8,1,2,8,1,-1.7,8,1,-0.7,8,1,-3.4,8,1,,0,,0,1,êº,8,1,0.0,8,1,129,8,1,23,8,1
1993/1/6,0,8,1,0,8,1,-0.1,8,1,2.4,8,1,-2.7,8,1,,0,,0,1,êºìÏêº,8,1,0.5,8,1,128,8,1,2,8,1
1993/1/7,5,8,1,2,8,1,-0.1,8,1,1.1,8,1,-1.5,8,1,,0,,0,1,ìåñkìå,8,1,0.0,8,1,118,8,1,1,8,1
